query,base,date,results,reviewed,included,exclusion_criterion
"agent-based model AND polarization",web search,2026-06-20,not reproducible,20,4,"secondary/non-dynamic/duplicates"
"opinion dynamics AND polarization",web search,2026-06-20,not reproducible,30,8,"secondary/non-primary"
"bounded confidence AND polarization",web search,2026-06-20,not reproducible,30,7,"duplicates/non-dynamic"
"dynamic confidence bound",web search,2026-06-20,not reproducible,10,2,"non-primary"
"adaptive confidence bound",web search,2026-06-20,not reproducible,10,2,"preprint/duplicate"
"heterogeneous confidence",web search,2026-06-20,not reproducible,10,2,"duplicate"
"stubborn agents AND polarization",web search,2026-06-20,not reproducible,10,2,"not bounded-confidence"
"negative influence AND opinion dynamics",web search,2026-06-20,not reproducible,10,2,"empirical-only"
"repulsion AND opinion dynamics",web search,2026-06-20,not reproducible,10,2,"duplicate"
"multidimensional opinion dynamics",web search,2026-06-20,not reproducible,10,2,"secondary"
"external field AND polarization",web search,2026-06-20,not reproducible,10,1,"non-model"
"media influence AND bounded confidence",web search,2026-06-20,not reproducible,10,1,"non-primary"
"event-driven opinion dynamics",web search,2026-06-20,not reproducible,10,1,"not accessible"
"temporary external influence AND polarization",web search,2026-06-20,not reproducible,10,1,"non-dynamic"
"decaying event influence AND opinion model",web search,2026-06-20,not reproducible,10,1,"not exact"
"opinion dynamics AND fatigue",web search,2026-06-20,not reproducible,10,0,"no verified dynamic model included"
"polarization fatigue AND simulation",web search,2026-06-20,not reproducible,10,0,"descriptive/non-model"
"group influence AND opinion dynamics",web search,2026-06-20,not reproducible,10,2,"secondary"
"cluster-level influence AND opinion dynamics",web search,2026-06-20,not reproducible,10,1,"not exact"
"higher-order interactions AND polarization",web search,2026-06-20,not reproducible,10,2,"duplicates"
"hypergraph opinion dynamics",web search,2026-06-20,not reproducible,10,2,"duplicates"
"perceived polarization AND agent-based model",web search,2026-06-20,not reproducible,10,1,"empirical-only"
"polarization feedback AND tolerance",web search,2026-06-20,not reproducible,10,0,"not located"
"endogenous tolerance AND opinion dynamics",web search,2026-06-20,not reproducible,10,1,"adaptive confidence partial"
"counter-event AND polarization",web search,2026-06-20,not reproducible,10,0,"not located as opinion ABM"
"Hawkes process AND opinion dynamics",web search,2026-06-20,not reproducible,10,1,"partial analogy"
"cyclical polarization AND agent-based model",web search,2026-06-20,not reproducible,10,0,"not verified"
"JDJ polarization index",web search,2026-06-20,not reproducible,10,2,"duplicates/non-social"
"polarización AND modelo basado en agentes",web search,2026-06-20,not reproducible,10,1,"secondary/general"
"dinámica de opiniones AND polarización",web search,2026-06-20,not reproducible,10,1,"secondary/general"
"Scopus",Scopus,2026-06-20,not accessible,0,0,"no institutional access"
"Web of Science",Web of Science,2026-06-20,not accessible,0,0,"no institutional access"
"Google Scholar",Google Scholar,2026-06-20,not reproducible,0,0,"blocked/personalized; not used as evidence"
"OpenAlex/Crossref",open web/API,2026-06-20,partial,10,5,"metadata verification only"
"Hegselmann Krause radical groups charismatic leaders constant signals DOI",web search,2026-06-20,10,2,1,"used primary DOI page"
"stochastic events sustained clustering polarisation bounded confidence DOI",web search,2026-06-20,10,2,1,"used Nature DOI page"
"bounded confidence model hypergraphs DOI",web search,2026-06-20,10,2,1,"used SIAM DOI page"
"adaptive bounded-confidence opinion dynamics networks DOI",web search,2026-06-20,10,2,1,"used Oxford DOI page"
"opinion formation distribution bounded-confidence various networks DOI",web search,2026-06-20,10,2,1,"used APS DOI page"
"Vector Opinion Dynamics in a Bounded Confidence Consensus Model DOI",web search,2026-09-20,10,3,1,"primary article and arXiv metadata verified"
"Social Influence of Competing Groups and Leaders in Opinion Dynamics",web search,2026-09-20,10,3,1,"publisher DOI and author manuscript metadata verified"
"Measuring Polarization A Fuzzy Set Theoretical Approach JDJ",web search,2026-09-20,10,3,1,"open full text and DOI metadata verified"
"Hegselmann Krause constant signals strength epsilon",web search,2026-09-20,10,2,1,"primary DOI/source used for exact mechanism"
