authors,year,title,venue,doi,url,type,mechanisms,claim_supported
"Vicsek; Czirok; Ben-Jacob; Cohen; Shochet",1995,"Novel Type of Phase Transition in a System of Self-Driven Particles","Physical Review Letters","10.1103/PhysRevLett.75.1226","https://doi.org/10.1103/PhysRevLett.75.1226","primary article","alignment; angular noise; physical radius","Audited code matches Vicsek-style self-propelled particles"
"Friedkin; Johnsen",1990,"Social Influence and Opinions","Journal of Mathematical Sociology","10.1080/0022250X.1990.9990069","https://doi.org/10.1080/0022250X.1990.9990069","primary article","social influence; stubbornness; anchoring","Obstinacy/anclaje has strong precedent"
"Deffuant; Neau; Amblard; Weisbuch",2000,"Mixing Beliefs among Interacting Agents","Advances in Complex Systems","10.1142/S0219525900000078","https://doi.org/10.1142/S0219525900000078","primary article","bounded confidence; pairwise interactions; mu","Tolerance and susceptibility have precedent"
"Hegselmann; Krause",2002,"Opinion Dynamics and Bounded Confidence Models, Analysis, and Simulation","JASSS","","https://www.jasss.org/5/3/2.html","primary article","bounded confidence; local averaging","Recommended baseline for synchronous continuous opinions"
"Axelrod",1997,"The Dissemination of Culture: A Model with Local Convergence and Global Polarization","Journal of Conflict Resolution","10.1177/0022002797041002001","https://doi.org/10.1177/0022002797041002001","primary article","cultural vectors; local convergence; global polarization","Local convergence can create global polarization"
"Castellano; Fortunato; Loreto",2009,"Statistical Physics of Social Dynamics","Reviews of Modern Physics","10.1103/RevModPhys.81.591","https://doi.org/10.1103/RevModPhys.81.591","review","voter; Sznajd; bounded confidence; social dynamics","Map of model families"
"Guevara; Gomez; Castro; Gutierrez; Robles",2022,"A New Approach to Polarization Modeling Using Markov Chains","CCIS/IPMU","10.1007/978-3-031-08974-9_12","https://doi.org/10.1007/978-3-031-08974-9_12","conference chapter","PMMC; absorbing states; fuzzy polarization","Local Markov scripts relate to PMMC/JDJ, not Vicsek"
"Chen; Li; Yang; Cong; Li",2019,"Modeling of the Public Opinion Polarization Process with the Considerations of Individual Heterogeneity and Dynamic Conformity","Mathematics","10.3390/math7100917","https://doi.org/10.3390/math7100917","primary article","heterogeneity; dynamic conformity","Heterogeneity/dynamic conformity antecedent"
"Pineda; Toral; Hernandez-Garcia",2013,"The Noisy Hegselmann-Krause Model for Opinion Dynamics","EPJ B","10.1140/epjb/e2013-40777-7","https://doi.org/10.1140/epjb/e2013-40777-7","primary article","HK noise; random jumps","Noise in HK has precedent"
"Wang",2022,"Opinion Dynamics with Higher-Order Bounded Confidence","Entropy","10.3390/e24091300","https://doi.org/10.3390/e24091300","primary article","higher-order interactions; bounded confidence","Cluster/group discussion mechanisms have antecedents"
"Hegselmann; Krause",2015,"Opinion Dynamics under the Influence of Radical Groups, Charismatic Leaders, and Other Constant Signals: A Simple Unifying Model","Networks and Heterogeneous Media","10.3934/nhm.2015.10.477","https://doi.org/10.3934/nhm.2015.10.477","primary article","constant signals; radical groups; bounded confidence","Permanent poles/signals have direct precedent"
"Condie; Condie",2021,"Stochastic Events Can Explain Sustained Clustering and Polarisation of Opinions in Social Networks","Scientific Reports","10.1038/s41598-020-80353-7","https://doi.org/10.1038/s41598-020-80353-7","primary article","stochastic events; bounded confidence; sustained polarization","Temporary events can sustain clustering/polarization"
"Hickok; Kureh; Brooks; Feng; Porter",2022,"A Bounded-Confidence Model of Opinion Dynamics on Hypergraphs","SIAM Journal on Applied Dynamical Systems","10.1137/21M1399427","https://doi.org/10.1137/21M1399427","primary article","higher-order interactions; hypergraphs; echo chambers","Group/cluster-level interactions are an established extension"
"Meng; Van Gorder; Porter",2018,"Opinion Formation and Distribution in a Bounded-Confidence Model on Various Networks","Physical Review E","10.1103/PhysRevE.97.022312","https://doi.org/10.1103/PhysRevE.97.022312","primary article","network topology; bounded confidence; convergence","Network structure affects convergence and clusters"
"Kan; Feng; Porter",2023,"An Adaptive Bounded-Confidence Model of Opinion Dynamics on Networks","Journal of Complex Networks","10.1093/comnet/cnac055","https://doi.org/10.1093/comnet/cnac055","primary article","adaptive network; tolerance threshold; homophily","Adaptive bounded-confidence mechanisms have close precedent"
"Fortunato; Latora; Pluchino; Rapisarda",2005,"Vector Opinion Dynamics in a Bounded Confidence Consensus Model","International Journal of Modern Physics C","10.1142/S0129183105008126","https://doi.org/10.1142/S0129183105008126","primary article","two-dimensional opinions; circular confidence range; HK","Direct support for the 2D Euclidean model"
"Glass; Glass",2021,"Social Influence of Competing Groups and Leaders in Opinion Dynamics","Computational Economics","10.1007/s10614-020-10049-7","https://doi.org/10.1007/s10614-020-10049-7","primary article","two competing stubborn groups; group size; leaders","Direct support for two weighted constant signals"
"Guevara; Gomez; Robles; Montero",2020,"Measuring Polarization: A Fuzzy Set Theoretical Approach","IPMU/CCIS","10.1007/978-3-030-50143-3_40","https://doi.org/10.1007/978-3-030-50143-3_40","conference chapter","fuzzy memberships; bipolar polarization risk; JDJ","Supports JDJ-Pro in one dimension; multidimensional use remains an adaptation"
